user_id,text,label
U001,Got promoted at work today!,0
U002,Every morning feels like a struggle.,1
U003,Had an amazing day today!,0
U004,I feel so alone and empty.,1
U005,Nothing makes me happy anymore.,1
U006,I cry almost every night.,1
U007,Grateful for the little things.,0
U008,Had an amazing day today!,0
U009,Grateful for the little things.,0
U010,I cry almost every night.,1
U011,I can't focus and feel sad most days.,1
U012,Every morning feels like a struggle.,1
U013,Every morning feels like a struggle.,1
U014,Got promoted at work today!,0
U015,Why does everything feel pointless?,1
U016,Just completed my project!,0
U017,I love spending time with my family.,0
U018,Why does everything feel pointless?,1
U019,Just completed my project!,0
U020,I feel so alone and empty.,1
U021,Life feels like a burden.,1
U022,Just completed my project!,0
U023,Life feels like a burden.,1
U024,Excited for what the future holds.,0
U025,I cry almost every night.,1
U026,I’m thankful for everything I have.,0
U027,Why does everything feel pointless?,1
U028,I’m thankful for everything I have.,0
U029,I love spending time with my family.,0
U030,I feel so hopeless all the time.,1
U031,I'm losing interest in everything.,1
U032,Nothing makes me happy anymore.,1
U033,I can't focus and feel sad most days.,1
U034,I love spending time with my family.,0
U035,Had an amazing day today!,0
U036,I love spending time with my family.,0
U037,I'm losing interest in everything.,1
U038,Feeling energetic and motivated.,0
U039,I just don’t have energy anymore.,1
U040,Nothing makes me happy anymore.,1
U041,Life is beautiful and full of hope.,0
U042,I’m thankful for everything I have.,0
U043,I feel so hopeless all the time.,1
U044,I feel so alone and empty.,1
U045,I cry almost every night.,1
U046,Life is beautiful and full of hope.,0
U047,Every morning feels like a struggle.,1
U048,Had an amazing day today!,0
U049,Excited for what the future holds.,0
U050,Nothing makes me happy anymore.,1
U051,Enjoying life to the fullest.,0
U052,Why does everything feel pointless?,1
U053,Excited for what the future holds.,0
U054,I feel so hopeless all the time.,1
U055,I can't focus and feel sad most days.,1
U056,I'm losing interest in everything.,1
U057,Life is beautiful and full of hope.,0
U058,Why does everything feel pointless?,1
U059,Grateful for the little things.,0
U060,Nothing makes me happy anymore.,1
U061,Enjoying life to the fullest.,0
U062,I can't focus and feel sad most days.,1
U063,Got promoted at work today!,0
U064,I can't focus and feel sad most days.,1
U065,Excited for what the future holds.,0
U066,Enjoying life to the fullest.,0
U067,Excited for what the future holds.,0
U068,Life is beautiful and full of hope.,0
U069,I feel so alone and empty.,1
U070,I just don’t have energy anymore.,1
U071,Grateful for the little things.,0
U072,Feeling energetic and motivated.,0
U073,Feeling energetic and motivated.,0
U074,I can't focus and feel sad most days.,1
U075,I can't focus and feel sad most days.,1
U076,I'm losing interest in everything.,1
U077,Just completed my project!,0
U078,I cry almost every night.,1
U079,I can't focus and feel sad most days.,1
U080,I love spending time with my family.,0
U081,I cry almost every night.,1
U082,I can't focus and feel sad most days.,1
U083,I’m thankful for everything I have.,0
U084,I can't focus and feel sad most days.,1
U085,I’m thankful for everything I have.,0
U086,I just don’t have energy anymore.,1
U087,I cry almost every night.,1
U088,Why does everything feel pointless?,1
U089,Life is beautiful and full of hope.,0
U090,I love spending time with my family.,0
U091,Just completed my project!,0
U092,Just completed my project!,0
U093,I just don’t have energy anymore.,1
U094,I’m thankful for everything I have.,0
U095,Life is beautiful and full of hope.,0
U096,Why does everything feel pointless?,1
U097,Nothing makes me happy anymore.,1
U098,I cry almost every night.,1
U099,Every morning feels like a struggle.,1
U100,Nothing makes me happy anymore.,1
U101,Grateful for the little things.,0
U102,I can't focus and feel sad most days.,1
U103,Life feels like a burden.,1
U104,I feel so hopeless all the time.,1
U105,I’m thankful for everything I have.,0
U106,Why does everything feel pointless?,1
U107,I'm losing interest in everything.,1
U108,Nothing makes me happy anymore.,1
U109,Nothing makes me happy anymore.,1
U110,I feel so alone and empty.,1
U111,Every morning feels like a struggle.,1
U112,Got promoted at work today!,0
U113,Feeling energetic and motivated.,0
U114,Just completed my project!,0
U115,Just completed my project!,0
U116,I'm losing interest in everything.,1
U117,I just don’t have energy anymore.,1
U118,I cry almost every night.,1
U119,Nothing makes me happy anymore.,1
U120,Excited for what the future holds.,0
U121,I'm losing interest in everything.,1
U122,I can't focus and feel sad most days.,1
U123,Grateful for the little things.,0
U124,Life is beautiful and full of hope.,0
U125,I'm losing interest in everything.,1
U126,I’m thankful for everything I have.,0
U127,Excited for what the future holds.,0
U128,Excited for what the future holds.,0
U129,Enjoying life to the fullest.,0
U130,Life feels like a burden.,1
U131,Grateful for the little things.,0
U132,I cry almost every night.,1
U133,I can't focus and feel sad most days.,1
U134,Got promoted at work today!,0
U135,Feeling energetic and motivated.,0
U136,I feel so hopeless all the time.,1
U137,I cry almost every night.,1
U138,Grateful for the little things.,0
U139,Why does everything feel pointless?,1
U140,I'm losing interest in everything.,1
U141,Had an amazing day today!,0
U142,I feel so alone and empty.,1
U143,Enjoying life to the fullest.,0
U144,I feel so alone and empty.,1
U145,Life feels like a burden.,1
U146,Got promoted at work today!,0
U147,I’m thankful for everything I have.,0
U148,I feel so alone and empty.,1
U149,Excited for what the future holds.,0
U150,Every morning feels like a struggle.,1
U151,I cry almost every night.,1
U152,I love spending time with my family.,0
U153,Life feels like a burden.,1
U154,I'm losing interest in everything.,1
U155,I just don’t have energy anymore.,1
U156,I'm losing interest in everything.,1
U157,I feel so hopeless all the time.,1
U158,I just don’t have energy anymore.,1
U159,I'm losing interest in everything.,1
U160,Life feels like a burden.,1
U161,Just completed my project!,0
U162,Grateful for the little things.,0
U163,Why does everything feel pointless?,1
U164,I'm losing interest in everything.,1
U165,I love spending time with my family.,0
U166,I cry almost every night.,1
U167,I feel so alone and empty.,1
U168,Why does everything feel pointless?,1
U169,I feel so alone and empty.,1
U170,I just don’t have energy anymore.,1
U171,I feel so alone and empty.,1
U172,I'm losing interest in everything.,1
U173,I cry almost every night.,1
U174,I just don’t have energy anymore.,1
U175,I feel so hopeless all the time.,1
U176,Just completed my project!,0
U177,I love spending time with my family.,0
U178,Grateful for the little things.,0
U179,Just completed my project!,0
U180,Why does everything feel pointless?,1
U181,Had an amazing day today!,0
U182,Life feels like a burden.,1
U183,I'm losing interest in everything.,1
U184,I’m thankful for everything I have.,0
U185,Grateful for the little things.,0
U186,I feel so hopeless all the time.,1
U187,Feeling energetic and motivated.,0
U188,Why does everything feel pointless?,1
U189,I just don’t have energy anymore.,1
U190,I can't focus and feel sad most days.,1
U191,Had an amazing day today!,0
U192,Just completed my project!,0
U193,I love spending time with my family.,0
U194,Every morning feels like a struggle.,1
U195,Why does everything feel pointless?,1
U196,Why does everything feel pointless?,1
U197,Enjoying life to the fullest.,0
U198,Feeling energetic and motivated.,0
U199,I cry almost every night.,1
U200,Feeling energetic and motivated.,0
