user_id,text,label
U0001,I just don’t have energy anymore.,1
U0002,Why does everything feel pointless?,1
U0003,I feel so hopeless all the time.,1
U0004,Every morning feels like a struggle.,1
U0005,Enjoying life to the fullest.,0
U0006,Nothing makes me happy anymore.,1
U0007,Every morning feels like a struggle.,1
U0008,Nothing makes me happy anymore.,1
U0009,Got promoted at work today!,0
U0010,Excited for what the future holds.,0
U0011,Why does everything feel pointless?,1
U0012,I cry almost every night.,1
U0013,Every morning feels like a struggle.,1
U0014,Enjoying life to the fullest.,0
U0015,I can't focus and feel sad most days.,1
U0016,Excited for what the future holds.,0
U0017,I feel so hopeless all the time.,1
U0018,I’m thankful for everything I have.,0
U0019,Excited for what the future holds.,0
U0020,Nothing makes me happy anymore.,1
U0021,Life is beautiful and full of hope.,0
U0022,Every morning feels like a struggle.,1
U0023,I just don’t have energy anymore.,1
U0024,Got promoted at work today!,0
U0025,I can't focus and feel sad most days.,1
U0026,Life is beautiful and full of hope.,0
U0027,Life is beautiful and full of hope.,0
U0028,Just completed my project!,0
U0029,Had an amazing day today!,0
U0030,I’m thankful for everything I have.,0
U0031,Enjoying life to the fullest.,0
U0032,I'm losing interest in everything.,1
U0033,I feel so hopeless all the time.,1
U0034,I feel so alone and empty.,1
U0035,I cry almost every night.,1
U0036,Just completed my project!,0
U0037,Had an amazing day today!,0
U0038,Why does everything feel pointless?,1
U0039,I feel so alone and empty.,1
U0040,Life is beautiful and full of hope.,0
U0041,Life is beautiful and full of hope.,0
U0042,I feel so alone and empty.,1
U0043,Nothing makes me happy anymore.,1
U0044,Life is beautiful and full of hope.,0
U0045,Excited for what the future holds.,0
U0046,Life feels like a burden.,1
U0047,I love spending time with my family.,0
U0048,I feel so alone and empty.,1
U0049,Why does everything feel pointless?,1
U0050,Excited for what the future holds.,0
U0051,Nothing makes me happy anymore.,1
U0052,I can't focus and feel sad most days.,1
U0053,I feel so hopeless all the time.,1
U0054,I'm losing interest in everything.,1
U0055,Why does everything feel pointless?,1
U0056,I’m thankful for everything I have.,0
U0057,Every morning feels like a struggle.,1
U0058,I love spending time with my family.,0
U0059,Nothing makes me happy anymore.,1
U0060,Life is beautiful and full of hope.,0
U0061,Excited for what the future holds.,0
U0062,I cry almost every night.,1
U0063,Grateful for the little things.,0
U0064,I’m thankful for everything I have.,0
U0065,Nothing makes me happy anymore.,1
U0066,Every morning feels like a struggle.,1
U0067,Got promoted at work today!,0
U0068,I feel so hopeless all the time.,1
U0069,Why does everything feel pointless?,1
U0070,I feel so hopeless all the time.,1
U0071,I'm losing interest in everything.,1
U0072,Life feels like a burden.,1
U0073,I'm losing interest in everything.,1
U0074,Why does everything feel pointless?,1
U0075,Excited for what the future holds.,0
U0076,Every morning feels like a struggle.,1
U0077,I’m thankful for everything I have.,0
U0078,Got promoted at work today!,0
U0079,Just completed my project!,0
U0080,I'm losing interest in everything.,1
U0081,Life is beautiful and full of hope.,0
U0082,I cry almost every night.,1
U0083,Had an amazing day today!,0
U0084,Enjoying life to the fullest.,0
U0085,Enjoying life to the fullest.,0
U0086,I feel so alone and empty.,1
U0087,I love spending time with my family.,0
U0088,Life feels like a burden.,1
U0089,Excited for what the future holds.,0
U0090,Enjoying life to the fullest.,0
U0091,Every morning feels like a struggle.,1
U0092,I'm losing interest in everything.,1
U0093,I feel so alone and empty.,1
U0094,Life is beautiful and full of hope.,0
U0095,I cry almost every night.,1
U0096,I just don’t have energy anymore.,1
U0097,I just don’t have energy anymore.,1
