user_id,text,label
U001,I feel so hopeless and tired all the time. Nothing makes sense.,1
U002,Had an amazing time with friends today! Feeling so refreshed!,0
U003,I just don’t have the energy to do anything anymore.,1
U004,Life is beautiful when you're surrounded by positivity.,0
U005,Every morning feels like a burden. I don't want to get out of bed.,1
U006,I’m thankful for my family and all their support.,0
U007,Why does everything feel so heavy all the time?,1
U008,Just completed my goal for the month. Feeling proud!,0
U009,I cry almost every night. I don’t know how much longer I can do this,1
U010,Got promoted at work today! So happy and excited for what’s ahead.,0
